X,Y,TYPE,SPEED,DIRTYPE,DIRECTION
7.16161,43.65574,1,30,0,0
2.13139,48.78004,1,30,1,204
2.41889,48.76255,1,30,2,142
5.33187,45.95477,1,50,1,201
5.33106,45.95344,1,50,1,22
5.75139,45.85130,1,50,1,61
5.75250,45.85184,1,50,1,241
3.30120,49.84606,1,50,1,38
3.41344,46.15495,1,50,1,241
6.57503,44.64535,1,50,1,39
7.29611,43.70009,1,50,1,196
7.26992,43.69647,1,50,1,66
7.27942,43.70697,1,50,1,270
7.51571,43.78370,1,50,2,252
7.47087,43.75806,1,50,1,248
7.47251,43.75819,1,50,1,84
7.51624,43.78381,1,50,1,73
7.27150,43.71275,1,50,1,188
7.46640,43.75913,1,50,1,135
4.35974,44.47495,1,50,1,51
4.61329,44.30594,1,50,1,184
4.84070,45.05814,1,50,1,202
4.66222,44.82346,1,50,1,246
4.18992,44.43264,1,50,1,218
4.72581,50.01780,1,50,1,193
4.58546,49.81767,1,50,1,134
4.68277,49.78416,1,50,1,305
1.60139,42.85710,1,50,1,185
1.11576,43.01137,1,50,1,128
4.08516,48.28938,1,50,1,237
4.69831,48.24010,1,50,1,143
2.36332,43.21041,1,50,1,112
5.43864,43.28479,1,50,1,263
5.36368,43.29453,1,50,1,148
5.36479,43.30293,1,50,1,194
0.13893,49.31469,1,50,1,317
0.41135,49.14217,1,50,1,262
2.46083,44.94470,1,50,1,209
-0.13490,45.80179,1,50,1,114
0.11813,45.66908,1,50,1,311
0.06882,45.81725,1,50,1,125
-0.13563,45.80205,1,50,1,292
-0.59063,45.72926,1,50,1,105
-0.58859,45.72894,1,50,1,299
2.41392,47.10978,1,50,1,26
2.16901,46.99345,1,50,1,277
2.39122,47.08913,1,50,1,221
2.43229,47.36667,1,50,1,184
9.44675,42.68235,1,50,1,359
8.71595,41.90878,1,50,1,95
8.80932,41.96189,1,50,1,53
8.75644,41.93210,1,50,1,332
8.79393,41.88462,1,50,1,230
8.74417,41.93348,1,50,1,70
5.03370,47.33697,1,50,1,56
5.07185,47.31604,1,50,1,284
5.25674,47.21840,1,50,1,300
2.13454,46.02537,1,50,1,99
1.91923,46.22195,1,50,1,180
2.46900,46.22174,1,50,1,204
0.02939,44.85173,1,50,1,266
6.80645,47.49809,1,50,1,324
6.00956,47.25099,1,50,1,70
4.80010,44.70531,1,50,1,198
0.80530,49.26298,1,50,1,37
1.38885,48.40196,1,50,1,237
1.53220,48.41669,1,50,1,138
1.70959,48.14967,1,50,1,246
1.41966,43.61001,1,50,1,118
1.39579,43.58050,1,50,1,210
1.41287,43.56774,1,50,1,46
